# Note that the FOCAS reductions are ongoing.
# The values presented here were manually derived.
# We are currently working on a pipeline to automate reductions.
#
# Flag values correspond to:
# s=strong/reliable
# w=weak/less reliable
# n=no conspicuous features
#
SN instrument z_hel plus minus r flag
20rgz SNIFS 0.028198389430620453 1.0223956920726862e-06 4.2029210026509056e-07 280.94804113399033 s
20naj SNIFS 0.05733162788847198 2.764517013212342e-06 1.9708751673869207e-06 594.6704042358498 s
21btm SNIFS 0.036085550740241286 5.119483891403986e-06 1.453172914359091e-05 50.189272845700266 n
20nin SNIFS 0.06060778295541006 9.76317583e-06 0.000232063952 3.40650013 s
21tjo SNIFS 0.05039877605163672 2.2528177484104628e-05 3.807305856677601e-05 527.8086673797421 n
20wap SNIFS 0.1002412252531284 2.6480540643442074e-06 3.291497419122269e-06 91.53582292712962 s
20ocv SNIFS 0.062160237437430134 5.281912287269375e-07 5.09552099225985e-06 49.86557458204776 s
20qic SNIFS 0.04949142768274777 1.1657814013230072e-06 5.43820358169661e-06 2.8694661351205264 s
20kkc SNIFS 0.07241657205740835 0.00022253780074107943 5.0997709392375246e-05 2.119587668445358 n
19wzy SNIFS 0.07394090282154535 2.984947225753709e-06 3.8419398842998165e-06 99.09719109701297 s
20cxx SNIFS 0.029846941653720437 8.726780018689095e-07 7.935360784409873e-07 258.2578605192309 s
20xps SNIFS 0.07029419414654083 3.1001415207759786e-05 4.719338562475528e-05 54.75300816630995 w
20tzb SNIFS 0.017436360135515503 8.587386313808204e-06 1.8379235199508098e-05 54.6521098547554 w
21vau SNIFS 0.03646406139531855 9.19740611075165e-06 1.781528855326897e-06 3.58664365916554 w
19ibd SNIFS 0.02853047220984856 6.768080399142951e-07 7.139515877455094e-07 58.693711820086584 w
20tjo SNIFS 0.08474124858974617 1.8731680172662246e-06 7.471443865536553e-07 400.49516778129356 s
20tug SNIFS 0.05675296668806872 3.0030490045587777e-06 1.620845978420049e-06 135.8809050640302 s
20ver SNIFS 0.0909048137148595 2.1584562455434497e-07 4.223533768693555e-07 401.6094087470258 s
20zfj SNIFS 0.09255272836147913 4.6261713937401083e-07 5.772041184737287e-07 160.12071006545588 s
20xps SNIFS 0.07112085939072164 5.80364025226654e-07 8.636055280786259e-06 53.00116668177156 s
20cxx SNIFS 0.030310211736084194 1.8653575970035974e-05 2.1928947398774934e-06 1019.7907222207751 s
22ik SNIFS 0.04660896079495723 2.7195164224308455e-06 9.23315732030694e-06 156.76482009590336 w
22rkc SNIFS 0.07162937353684633 8.825914833698878e-08 2.3031991089328407e-07 210.62358273822974 s
21ill SNIFS 0.05556501205661148 2.0653810022669417e-06 1.7963521392154458e-05 74.75103680536152 s
21ikn SNIFS 0.07102361919690921 4.6767535891445444e-05 -1.0 114.33160111286082 w
21ikn SNIFS 0.06898294132626466 3.7066809423086378e-06 7.418181871610141e-06 463.57815995630085 s
21gjm SNIFS 0.045212676296850426 4.301343026501259e-06 2.9993308089532045e-06 157.00312445063767 s
21pzt SNIFS 0.07595614099153382 8.747672577691379e-07 5.484018639201338e-07 112.19654758508184 s
21caf SNIFS 0.06724198837369931 1.1250754183261824e-05 9.852233579507597e-06 584.743388483387 w
21iqt SNIFS 0.058043004621934416 9.6439225554662e-07 2.98772123225044e-06 49.438434781023126 s
21adu SNIFS 0.05342498946749712 6.194351396246467e-06 5.286779375793249e-06 106.7732392195415 w
21aceo SNIFS 0.037305290183470736 2.962817393055428e-05 9.602022354306822e-05 226.3310418773077 w
